"App","Category","Rating","Number.of.ratings"
"WikiMobile Encyclopedia","Books & Reference",4.3,10574
"Photile Live Wallpaper","Personalization",4.2,4075
"Quran Android","Books & Reference",4.7,4185
"Anti-Virus Pro Trial","Libraries & Demo",4.5,2306
"Easy Currency Converter","Finance",4.6,1193
"Official eBay Android App","Shopping",4.2,87075
"No 1 Caller LookUp","Productivity",4.1,1062
"Winamp","Music & Audio",4.3,77757
"Fake iPhone 4S","Entertainment",4.1,2911
"Pumpkins vs. Monsters","Arcade & Action",4.7,62944
"Photo Warp","Entertainment",4.1,1521
"Zynga Poker","Cards & Casino",4.6,127050
"?????? ?????? (Webtoon MOA)","Comics",4.6,5068
"Sun Rise Free Live Wallpaper","Personalization",4.5,5088
"Netflix","Entertainment",4.3,125569
"Snowflakes Live Wallpaper Free","Personalization",4.2,10821
"Strip Blackjack","Cards & Casino",4.5,12148
"Poynt","Travel & Local",4.3,12722
"SpeechSynthesis Data Installer","Libraries & Demo",4.1,130654
"Pregnancy Assistant","Lifestyle",4.4,4623
"Air Penguin","Casual",4.4,4694
"JogTracker","Health & Fitness",4.3,3622
"London Tube Status","Travel & Local",4.3,1510
"old offender|Escape from jail","Casual",4.2,4789
"QQLauncher Pro","Personalization",4.4,2900
"Zynga Poker","Cards & Casino",4.6,126741
"Word Mix Lite","Brain & Puzzle",4.3,4627
"Retro Defense","Arcade & Action",4.6,1724
"GO Locker","Productivity",4.2,3811
"Android TreinTijden Lite","Travel & Local",4.5,1492
"Yellow Pages by Superpages","Travel & Local",4.2,1678
"Skitch","Productivity",4.2,8358
"Zoo Story???","Arcade & Action",4.5,21634
"Galaxy Core 3D LiveWallpaper","Personalization",4.4,5530
"Jewels Free","Arcade & Action",4.6,6974
"Dolphin Desktop Toggle","Communication",4.5,2362
"100,000 Free Books Wattpad","Books & Reference",4.3,11223
"Ninja Rush","Sports Games",4.3,11484
"Calorie Counter","Health & Fitness",4.5,27649
"Phit Droid Puzzles","Casual",4.4,9661
"ESPN Streak For The Cash","Sports Games",4.3,1383
"Beautiful Widgets","Personalization",4.5,55261
"Shortyz Crosswords","Brain & Puzzle",4.7,5692
"Papaya Fish","Casual",4.2,7986
"Boat Browser Mini","Communication",4.5,5913
"Diet Point","Health & Fitness",4.2,13263
"Skyscanner","Travel & Local",4.5,7828
"TripAdvisor","Travel & Local",4.4,55199
"Jewels","Casual",4.5,145249
"textPlus Free Texting","Social",4.1,16528
"CineTrailer","Entertainment",4.4,3224
"Shake Them All! Live Wallpaper","Personalization",4.4,26713
"aniPet Aquarium LiveWallpaper","Personalization",4.1,14209
"FooCat Live Wallpaper","Entertainment",4.6,2567
"TSwipe-Pro keyboard","Tools",4.3,3501
"Super aTool Box-cache battery","Productivity",4.6,14217
"Yelp","Travel & Local",4.2,36226
"Google Sky Map","Books & Reference",4.7,221794
"Bike Mania FREE","Racing",4.2,3462
"TD Bank (US)","Finance",4.4,3179
"Backgammon Free","Brain & Puzzle",4.5,75808
"WidgetLocker Lockscreen","Personalization",4.3,12364
"Soccer Scores","Sports",4.5,17553
"Skyfire Web Browser 4.0","Communication",4.3,130152
"Angel Piano.","Arcade & Action",4.2,10845
"Move it! Free","Brain & Puzzle",4.3,41949
"GRave Defense Holidays","Arcade & Action",4.6,3190
"Spotify","Music & Audio",4.3,40683
"Life360","Lifestyle",4.5,15451
"Panda Chub Live Wallpaper Free","Personalization",4.5,4107
"Digitally Imported Radio","Music & Audio",4.6,14496
"Paradise Island","Arcade & Action",4.6,482113
"Simple Last.fm Scrobbler","Media & Video",4.4,3052
"Fruited","Brain & Puzzle",4.4,2393
"ES Bookmark Manager(Beta)","Libraries & Demo",4.2,1324
"A fastest SMS app","Communication",4.4,5465
"Pinball Deluxe","Arcade & Action",4.4,11463
"RockPlayer Lite","Media & Video",4.2,8743
"Thunderstorm Donation","Personalization",4.6,5321
"Video to Facebook (Ads)","Social",4.3,6294
"3D Skyrocket Live Wallpaper","Personalization",4.1,7851
"The Motley Fool","Finance",4.3,2134
"Paint Joy","Casual",4.4,18669
"Mint.com Personal Finance","Finance",4.2,17448
"Bamboo Forest Live Wallpaper","Personalization",4.1,1276
"Dante: THE INFERNO game","Arcade & Action",4.1,61355
"IMDb Movies & TV","Entertainment",4.4,69454
"Warspear Online","Arcade & Action",4.4,4641
"Battery Widget","Tools",4.5,7540
"WebMD for Android","Health & Fitness",4.4,5518
"Tagged Android App","Social",4.2,88257
"myRemote","Media & Video",4.3,1266
"Titanium Backup PRO Key ??? root","Tools",4.8,11312
"Calorie Counter by FatSecret","Health & Fitness",4.4,43302
"Pulse News","News & Magazines",4.4,36640
"Nature Scenes","Personalization",4.4,1220
"doubleTwist Player","Music & Audio",4.4,68800
"TV Listings for Android","Media & Video",4.4,7162
"Keoli TV Guide","Media & Video",4.3,1572
"Checkers","Brain & Puzzle",4.4,3279
"Brilliant Quotes & Quotations","Books & Reference",4.5,17204
"PhotoWonder","Photography",4.3,39903
"Big Sport Fishing 3D Lite","Arcade & Action",4.2,8767
"HomeWork","Education",4.6,2404
